Indicateurs: Clé,Date,MIlieu,Sexe,Secteur d''activité: Nom,Régions: Nom,Faits: Valeur
28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Centre Est,13286
28001579,2014-01-01 00:00:00,Rural,Masculin,Non Declaré,Centre Est,148
28001579,2014-01-01 00:00:00,Rural,Féminin,Population occupée agée de 15 ans et plus,Centre Est,38478
28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Centre Est,5819
28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Centre Est,121
28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Centre Est,18702
28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Centre Est,620
28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Centre Est,2446
28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Centre Est,197
28001579,2014-01-01 00:00:00,Rural,Féminin,"Education, Santé et services administratifs",Centre Est,6466
28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Centre Est,4003
28001579,2014-01-01 00:00:00,Rural,Féminin,Non Declaré,Centre Est,104
28001579,2014-01-01 00:00:00,Communal,Masculin,Population occupée agée de 15 ans et plus,Centre Ouest,97504
28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Centre Ouest,3142
28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Centre Ouest,1516
28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Centre Ouest,9011
28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Centre Ouest,17394
28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Centre Ouest,17930
28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Centre Ouest,5542
28001579,2014-01-01 00:00:00,Communal,Masculin,"Education, Santé et services administratifs",Centre Ouest,35792
28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Centre Ouest,7035
28001579,2014-01-01 00:00:00,Communal,Masculin,Non Declaré,Centre Ouest,142
28001579,2014-01-01 00:00:00,Communal,Féminin,Population occupée agée de 15 ans et plus,Centre Ouest,36420
28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Centre Ouest,1034
28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Centre Ouest,345
28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Centre Ouest,5547
28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Centre Ouest,299
28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Centre Ouest,3190
28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Centre Ouest,293
28001579,2014-01-01 00:00:00,Communal,Féminin,"Education, Santé et services administratifs",Centre Ouest,22621
28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Centre Ouest,2988
28001579,2014-01-01 00:00:00,Communal,Féminin,Non Declaré,Centre Ouest,103
28001579,2014-01-01 00:00:00,Rural,Masculin,Population occupée agée de 15 ans et plus,Centre Ouest,174595
28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Centre Ouest,52957
28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Centre Ouest,1419
28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Centre Ouest,5999
28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Centre Ouest,62006
28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Centre Ouest,19910
28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Centre Ouest,6683
28001579,2014-01-01 00:00:00,Rural,Masculin,"Education, Santé et services administratifs",Centre Ouest,20973
28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Centre Ouest,4392
28001579,2014-01-01 00:00:00,Rural,Masculin,Non Declaré,Centre Ouest,256
28001579,2014-01-01 00:00:00,Rural,Féminin,Population occupée agée de 15 ans et plus,Centre Ouest,41329
28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Centre Ouest,25425
28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Centre Ouest,191
28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Centre Ouest,5562
28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Centre Ouest,1021
28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Centre Ouest,1508
28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Centre Ouest,100
28001579,2014-01-01 00:00:00,Rural,Féminin,"Education, Santé et services administratifs",Centre Ouest,6157
28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Centre Ouest,1211
28001579,2014-01-01 00:00:00,Rural,Féminin,Non Declaré,Centre Ouest,154
28001579,2014-01-01 00:00:00,Communal,Masculin,Population occupée agée de 15 ans et plus,Gouvernorat de Tunis,241489
28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Gouvernorat de Tunis,1936
28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Gouvernorat de Tunis,6457
28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Gouvernorat de Tunis,28718
28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Gouvernorat de Tunis,26635
28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Gouvernorat de Tunis,46266
28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Gouvernorat de Tunis,21939
28001579,2014-01-01 00:00:00,Communal,Masculin,"Education, Santé et services administratifs",Gouvernorat de Tunis,64020
28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Gouvernorat de Tunis,45228
28001579,2014-01-01 00:00:00,Communal,Masculin,Non Declaré,Gouvernorat de Tunis,290
28001579,2014-01-01 00:00:00,Communal,Féminin,Population occupée agée de 15 ans et plus,Gouvernorat de Tunis,121556
28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Gouvernorat de Tunis,287
28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Gouvernorat de Tunis,1393
28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Gouvernorat de Tunis,20328
28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Gouvernorat de Tunis,1027
28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Gouvernorat de Tunis,13199
28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Gouvernorat de Tunis,2642
28001579,2014-01-01 00:00:00,Communal,Féminin,"Education, Santé et services administratifs",Gouvernorat de Tunis,53845
28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Gouvernorat de Tunis,28604
28001579,2014-01-01 00:00:00,Communal,Féminin,Non Declaré,Gouvernorat de Tunis,231
28001579,2014-01-01 00:00:00,Communal,Masculin,Population occupée agée de 15 ans et plus,Gouvernorat de L'Ariana,122977
28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Gouvernorat de L'Ariana,3200
28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Gouvernorat de L'Ariana,2847
28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Gouvernorat de L'Ariana,15675
28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Gouvernorat de L'Ariana,22469
28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Gouvernorat de L'Ariana,20702
28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Gouvernorat de L'Ariana,9470
28001579,2014-01-01 00:00:00,Communal,Masculin,"Education, Santé et services administratifs",Gouvernorat de L'Ariana,28152
28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Gouvernorat de L'Ariana,20364
28001579,2014-01-01 00:00:00,Communal,Masculin,Non Declaré,Gouvernorat de L'Ariana,98
28001579,2014-01-01 00:00:00,Communal,Féminin,Population occupée agée de 15 ans et plus,Gouvernorat de L'Ariana,61713
28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Gouvernorat de L'Ariana,247
28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Gouvernorat de L'Ariana,666
28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Gouvernorat de L'Ariana,12968
28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Gouvernorat de L'Ariana,604
28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Gouvernorat de L'Ariana,6111
28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Gouvernorat de L'Ariana,1331
28001579,2014-01-01 00:00:00,Communal,Féminin,"Education, Santé et services administratifs",Gouvernorat de L'Ariana,24948
28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Gouvernorat de L'Ariana,14738
28001579,2014-01-01 00:00:00,Communal,Féminin,Non Declaré,Gouvernorat de L'Ariana,100
28001579,2014-01-01 00:00:00,Rural,Masculin,Population occupée agée de 15 ans et plus,Gouvernorat de L'Ariana,16046
