Indicateurs: Clé,Date,Milieu,Sexe,trancheAge,Regions,FaitsValeur
28007659,2014-01-01 00:00:00,Rural,Masculin,45-49 ans,Centre Ouest,1142
28007659,2014-01-01 00:00:00,Rural,Masculin,50-59 ans,Centre Ouest,1746
28007659,2014-01-01 00:00:00,Rural,Masculin,60+ ans,Centre Ouest,689
28007659,2014-01-01 00:00:00,Rural,Féminin,15-19 ans,Centre Ouest,1849
28007659,2014-01-01 00:00:00,Rural,Féminin,20-24 ans,Centre Ouest,3504
28007659,2014-01-01 00:00:00,Rural,Féminin,25-29 ans,Centre Ouest,4338
28007659,2014-01-01 00:00:00,Rural,Féminin,30-34 ans,Centre Ouest,2424
28007659,2014-01-01 00:00:00,Rural,Féminin,35-39 ans,Centre Ouest,1299
28007659,2014-01-01 00:00:00,Rural,Féminin,40-44 ans,Centre Ouest,707
28007659,2014-01-01 00:00:00,Rural,Féminin,45-49 ans,Centre Ouest,484
28007659,2014-01-01 00:00:00,Rural,Féminin,50-59 ans,Centre Ouest,467
28007659,2014-01-01 00:00:00,Rural,Féminin,60+ ans,Centre Ouest,243
28007659,2014-01-01 00:00:00,Communal,Masculin,15-19 ans,Gouvernorat de Tunis,2306
28007659,2014-01-01 00:00:00,Communal,Masculin,20-24 ans,Gouvernorat de Tunis,7247
28007659,2014-01-01 00:00:00,Communal,Masculin,25-29 ans,Gouvernorat de Tunis,8603
28007659,2014-01-01 00:00:00,Communal,Masculin,30-34 ans,Gouvernorat de Tunis,5189
28007659,2014-01-01 00:00:00,Communal,Masculin,35-39 ans,Gouvernorat de Tunis,2597
28007659,2014-01-01 00:00:00,Communal,Masculin,40-44 ans,Gouvernorat de Tunis,1706
28007659,2014-01-01 00:00:00,Communal,Masculin,45-49 ans,Gouvernorat de Tunis,1260
28007659,2014-01-01 00:00:00,Communal,Masculin,50-59 ans,Gouvernorat de Tunis,1479
28007659,2014-01-01 00:00:00,Communal,Masculin,60+ ans,Gouvernorat de Tunis,414
28007659,2014-01-01 00:00:00,Communal,Féminin,15-19 ans,Gouvernorat de Tunis,1316
28007659,2014-01-01 00:00:00,Communal,Féminin,20-24 ans,Gouvernorat de Tunis,5413
