,Indicateurs: Clé,Date,MIlieu,Sexe,Secteur d''activité: Nom,Régions: Nom,Faits: Valeur
171,28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Gouvernorat de Tunis,287
172,28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Gouvernorat de Tunis,1393
173,28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Gouvernorat de Tunis,20328
174,28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Gouvernorat de Tunis,1027
175,28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Gouvernorat de Tunis,13199
176,28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Gouvernorat de Tunis,2642
177,28001579,2014-01-01 00:00:00,Communal,Féminin,Education Santé et services administratifs,Gouvernorat de Tunis,53845
178,28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Gouvernorat de Tunis,28604
181,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Gouvernorat de L'Ariana,3200
182,28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Gouvernorat de L'Ariana,2847
183,28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Gouvernorat de L'Ariana,15675
184,28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Gouvernorat de L'Ariana,22469
185,28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Gouvernorat de L'Ariana,20702
186,28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Gouvernorat de L'Ariana,9470
187,28001579,2014-01-01 00:00:00,Communal,Masculin,Education Santé et services administratifs,Gouvernorat de L'Ariana,28152
188,28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Gouvernorat de L'Ariana,20364
191,28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Gouvernorat de L'Ariana,247
192,28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Gouvernorat de L'Ariana,666
193,28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Gouvernorat de L'Ariana,12968
194,28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Gouvernorat de L'Ariana,604
195,28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Gouvernorat de L'Ariana,6111
196,28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Gouvernorat de L'Ariana,1331
197,28001579,2014-01-01 00:00:00,Communal,Féminin,Education Santé et services administratifs,Gouvernorat de L'Ariana,24948
198,28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Gouvernorat de L'Ariana,14738
201,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Gouvernorat de L'Ariana,1491
202,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Gouvernorat de L'Ariana,381
203,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Gouvernorat de L'Ariana,2003
204,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Gouvernorat de L'Ariana,3196
205,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Gouvernorat de L'Ariana,2589
206,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Gouvernorat de L'Ariana,1474
207,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Gouvernorat de L'Ariana,3087
208,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Gouvernorat de L'Ariana,1816
211,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Gouvernorat de L'Ariana,214
212,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Gouvernorat de L'Ariana,78
213,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Gouvernorat de L'Ariana,1445
214,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Gouvernorat de L'Ariana,76
215,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Gouvernorat de L'Ariana,855
216,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Gouvernorat de L'Ariana,89
217,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Gouvernorat de L'Ariana,2524
218,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Gouvernorat de L'Ariana,1264
221,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Gouvernorat de Bizerte,6295
222,28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Gouvernorat de Bizerte,1177
223,28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Gouvernorat de Bizerte,18244
224,28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Gouvernorat de Bizerte,13328
225,28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Gouvernorat de Bizerte,10925
226,28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Gouvernorat de Bizerte,5092
227,28001579,2014-01-01 00:00:00,Communal,Masculin,Education Santé et services administratifs,Gouvernorat de Bizerte,19405
228,28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Gouvernorat de Bizerte,5414
231,28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Gouvernorat de Bizerte,295
232,28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Gouvernorat de Bizerte,148
233,28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Gouvernorat de Bizerte,17450
234,28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Gouvernorat de Bizerte,314
235,28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Gouvernorat de Bizerte,2537
236,28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Gouvernorat de Bizerte,282
237,28001579,2014-01-01 00:00:00,Communal,Féminin,Education Santé et services administratifs,Gouvernorat de Bizerte,12005
238,28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Gouvernorat de Bizerte,2409
241,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Gouvernorat de Bizerte,16769
242,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Gouvernorat de Bizerte,538
243,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Gouvernorat de Bizerte,6271
244,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Gouvernorat de Bizerte,10689
245,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Gouvernorat de Bizerte,3382
246,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Gouvernorat de Bizerte,1856
247,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Gouvernorat de Bizerte,4742
248,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Gouvernorat de Bizerte,1313
251,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Gouvernorat de Bizerte,1649
252,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Gouvernorat de Bizerte,28
253,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Gouvernorat de Bizerte,6325
254,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Gouvernorat de Bizerte,193
255,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Gouvernorat de Bizerte,462
256,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Gouvernorat de Bizerte,40
257,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Gouvernorat de Bizerte,1341
258,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Gouvernorat de Bizerte,385
261,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Gouvernorat de Sfax,6278
262,28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Gouvernorat de Sfax,3572
263,28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Gouvernorat de Sfax,31366
264,28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Gouvernorat de Sfax,19806
265,28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Gouvernorat de Sfax,24602
266,28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Gouvernorat de Sfax,10319
267,28001579,2014-01-01 00:00:00,Communal,Masculin,Education Santé et services administratifs,Gouvernorat de Sfax,27114
268,28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Gouvernorat de Sfax,17723
271,28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Gouvernorat de Sfax,334
272,28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Gouvernorat de Sfax,392
273,28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Gouvernorat de Sfax,15962
274,28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Gouvernorat de Sfax,487
275,28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Gouvernorat de Sfax,5628
276,28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Gouvernorat de Sfax,459
277,28001579,2014-01-01 00:00:00,Communal,Féminin,Education Santé et services administratifs,Gouvernorat de Sfax,22498
278,28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Gouvernorat de Sfax,8051
281,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Gouvernorat de Sfax,13634
282,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Gouvernorat de Sfax,1116
283,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Gouvernorat de Sfax,12559
284,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Gouvernorat de Sfax,22938
285,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Gouvernorat de Sfax,9372
286,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Gouvernorat de Sfax,4154
287,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Gouvernorat de Sfax,7830
288,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Gouvernorat de Sfax,5814
291,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Gouvernorat de Sfax,2629
292,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Gouvernorat de Sfax,82
293,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Gouvernorat de Sfax,7201
294,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Gouvernorat de Sfax,277
295,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Gouvernorat de Sfax,1292
296,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Gouvernorat de Sfax,82
297,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Gouvernorat de Sfax,3427
298,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Gouvernorat de Sfax,2271
301,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Gouvernorat de Kasserine,989
302,28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Gouvernorat de Kasserine,477
303,28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Gouvernorat de Kasserine,2827
304,28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Gouvernorat de Kasserine,7098
305,28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Gouvernorat de Kasserine,5322
306,28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Gouvernorat de Kasserine,1741
307,28001579,2014-01-01 00:00:00,Communal,Masculin,Education Santé et services administratifs,Gouvernorat de Kasserine,13958
308,28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Gouvernorat de Kasserine,2176
311,28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Gouvernorat de Kasserine,223
312,28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Gouvernorat de Kasserine,76
313,28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Gouvernorat de Kasserine,1343
314,28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Gouvernorat de Kasserine,145
315,28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Gouvernorat de Kasserine,860
316,28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Gouvernorat de Kasserine,100
317,28001579,2014-01-01 00:00:00,Communal,Féminin,Education Santé et services administratifs,Gouvernorat de Kasserine,8008
318,28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Gouvernorat de Kasserine,876
321,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Gouvernorat de Kasserine,11941
322,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Gouvernorat de Kasserine,213
323,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Gouvernorat de Kasserine,1228
324,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Gouvernorat de Kasserine,17622
325,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Gouvernorat de Kasserine,3931
326,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Gouvernorat de Kasserine,1808
327,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Gouvernorat de Kasserine,6499
328,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Gouvernorat de Kasserine,914
331,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Gouvernorat de Kasserine,3627
332,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Gouvernorat de Kasserine,18
333,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Gouvernorat de Kasserine,1268
334,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Gouvernorat de Kasserine,311
335,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Gouvernorat de Kasserine,364
336,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Gouvernorat de Kasserine,29
337,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Gouvernorat de Kasserine,1829
338,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Gouvernorat de Kasserine,324
341,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Gouvernorat de Sidi Bouzid,898
